,Mean,SD,Selection,Shorten,SelectSP,TestSP,Year,Cycles,nDH,Ne,varE
92,-0.00195404,0.023128092,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,1,nDH96,Ne600,varE1.22
93,-0.001819762,0.020483776,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,2,nDH96,Ne600,varE1.22
94,0.770489046,0.150457006,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,3,nDH96,Ne600,varE1.22
95,0.762003896,0.147186297,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,4,nDH96,Ne600,varE1.22
96,1.545095965,0.259390057,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,5,nDH96,Ne600,varE1.22
97,1.532493493,0.264907311,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,6,nDH96,Ne600,varE1.22
98,2.283067495,0.337159404,./rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,2yr,7,nDH96,Ne600,varE1.22
99,-0.005293094,0.042743995,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,1,nDH96,Ne600,varE1.22
100,-0.001315403,0.040708277,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,2,nDH96,Ne600,varE1.22
101,0.664636064,0.278986043,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,3,nDH96,Ne600,varE1.22
102,1.406579119,0.443149711,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,4,nDH96,Ne600,varE1.22
103,2.109409701,0.519200989,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,5,nDH96,Ne600,varE1.22
104,2.705965285,0.545965437,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,6,nDH96,Ne600,varE1.22
105,3.252980677,0.562444773,./rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,1yr,7,nDH96,Ne600,varE1.22
106,0.001222636,0.045055943,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,1,nDH96,Ne600,varE1.22
107,-0.00375641,0.04134578,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,2,nDH96,Ne600,varE1.22
108,0.646683091,0.262241618,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,3,nDH96,Ne600,varE1.22
109,0.668749443,0.22672041,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,4,nDH96,Ne600,varE1.22
110,1.360700079,0.384768038,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,5,nDH96,Ne600,varE1.22
111,1.378396249,0.334790718,./rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne600_Mean_g,rand,400,2yr,6,nDH96,Ne600,varE1.22
