"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"86",0.74816568001485,0.0128709365129753,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"87",0.718739331563663,0.012848835521693,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"88",0.705314572219419,0.012855822730701,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"89",0.664965874887479,0.0131787327174994,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",9,"nDH96","Ne=600","heritability: 0.5"
"90",0.638152844440612,0.014358263970315,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",10,"nDH96","Ne=600","heritability: 0.5"
"92",0.926692291374766,0.00820948145771857,"./pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"94",0.870238455446769,0.00784310691561516,"./pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"96",0.828992064598872,0.01158467260793,"./pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"98",0.810067489179904,0.00903029494990064,"./pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"100",0.758612255231745,0.0103894982003456,"./pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"2yr",10,"nDH96","Ne=600","heritability: 0.5"
"102",0.909148393514844,0.0090386772336512,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"103",0.837883169406308,0.00914966687630087,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"104",0.772420107805875,0.0184205277410803,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"105",0.699583232235617,0.0171030072680141,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"106",0.680231623589674,0.0183490175888722,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"107",0.633469727296976,0.0179530021780283,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"108",0.584000863924202,0.0180574072249056,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"109",0.530593693826615,0.0198058570999272,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",9,"nDH96","Ne=600","heritability: 0.5"
"110",0.491090806585352,0.0188292688458872,"./pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"1yr",10,"nDH96","Ne=600","heritability: 0.5"
"112",0.921915771433113,0.00433946511123052,"./pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"114",0.867283863504118,0.0165117339696663,"./pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"116",0.761000726930667,0.0126430043717719,"./pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"118",0.680884410576134,0.0197446280116658,"./pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"120",0.666343267284428,0.0219197158889255,"./pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_400_2yr_nDH96_varE1_Ne600_Sd_GP","pheno",400,"2yr",10,"nDH96","Ne=600","heritability: 0.5"
"122",0.993951802665587,0.00967408963735593,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"123",0.93723269833663,0.00967204506629299,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"124",0.899188013208345,0.013425242473829,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"125",0.848719867700381,0.0118429124949945,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"126",0.817852844202267,0.0142459031484304,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"127",0.783841087522931,0.0179609541805805,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"128",0.750503576801748,0.0237053234152417,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"129",0.719051089034209,0.0230248289762666,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",9,"nDH96","Ne=600","heritability: 0.5"
"130",0.699313099945066,0.0242229739696126,"./rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_1yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"1yr",10,"nDH96","Ne=600","heritability: 0.5"
"132",0.987966401170671,0.00989228989325596,"./rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"134",0.935009870792916,0.00692288452078537,"./rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"136",0.883949384515394,0.00830963384679974,"./rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
