"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"102",1.74683877581179,0.0104556237365957,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"103",1.76304648328288,0.00922745318400235,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"104",1.76258546017339,0.00966133058817974,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"106",1.7408970822931,0.0116751350619135,"./rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"108",1.77919501017243,0.011629840902218,"./rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"110",1.7673294267399,0.00998165616775892,"./rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"112",1.77697982169198,0.0109095673648103,"./rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"114",1.75035275929346,0.0245035304116167,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"115",1.71263582384266,0.0184017308905859,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"116",1.74537309565813,0.0180694968547009,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
