"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"74",0.346089979709391,0.0109327790626293,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"76",0.34580976867969,0.0126510046568007,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"78",0.402007675541563,0.0176549024244086,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"80",0.450702027718056,0.0142859838290397,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"82",0.292670254040827,0.0211359097036457,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"83",0.38612153422809,0.0196268475139551,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"84",0.394626660600912,0.0115860686421409,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"85",0.427570882866416,0.0166615997583915,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"86",0.436883796411928,0.0191480322253982,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"87",0.446762764265278,0.0192565714919917,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
