"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"108",108,0.425229900348351,0.0164530214466865,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",3,"nDH24","Ne600","varE1"
"109",109,0.438562299050053,0.0163346552952067,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",4,"nDH24","Ne600","varE1"
"110",110,0.857930444556734,0.0231407582227046,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",5,"nDH24","Ne600","varE1"
"111",111,0.877977806194934,0.022616613088847,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",6,"nDH24","Ne600","varE1"
"112",112,1.27544942899515,0.0300622859542297,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",7,"nDH24","Ne600","varE1"
"141",141,0.00801522191411951,0.0073696403113625,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",1,"nDH24","Ne60","varE4"
"142",142,-0.00853665946007809,0.00775166995980171,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne60","varE4"
"143",143,0.457310726557799,0.0127952942838679,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne60","varE4"
"144",144,0.921372100329248,0.0160142366205163,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne60","varE4"
"145",145,1.36188247936095,0.0191204200847938,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne60","varE4"
"146",146,1.82519542552594,0.0210190902019866,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne60","varE4"
"147",147,2.27262967779635,0.0231247817448718,"./rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne60","varE4"
"148",148,-0.00701549588040047,0.00672320761752688,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",1,"nDH24","Ne60","varE4"
"149",149,0.00311817313605016,0.0072486232634789,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne60","varE4"
"150",150,0.453494772612042,0.0105225322596908,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",3,"nDH24","Ne60","varE4"
"151",151,0.506336286139123,0.0119264828785505,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",4,"nDH24","Ne60","varE4"
"152",152,0.940179629536772,0.0147593165864357,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",5,"nDH24","Ne60","varE4"
"153",153,0.985681248011899,0.0164879477783418,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",6,"nDH24","Ne60","varE4"
"154",154,1.42417029756828,0.0185328562785137,"./rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP","rand",1000,"2yr",7,"nDH24","Ne60","varE4"
"155",155,0.00135637251757917,0.0130408146722068,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",1,"nDH24","Ne60","varE4"
"156",156,-0.0128825329841564,0.0111719196467336,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",2,"nDH24","Ne60","varE4"
"157",157,0.345490523136448,0.017883702566932,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",3,"nDH24","Ne60","varE4"
"158",158,0.776137309444763,0.0245247690785089,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",4,"nDH24","Ne60","varE4"
"159",159,1.15613323292192,0.0305390543306711,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",5,"nDH24","Ne60","varE4"
"160",160,1.5411363921637,0.0337229314190911,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",6,"nDH24","Ne60","varE4"
"161",161,1.94607230025095,0.0362718749703888,"./rand_400_1yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"1yr",7,"nDH24","Ne60","varE4"
"162",162,-0.0188257403227169,0.0111451020961055,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",1,"nDH24","Ne60","varE4"
"163",163,0.00232458954285992,0.0104148631687762,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",2,"nDH24","Ne60","varE4"
"164",164,0.335832710631588,0.0192003852117543,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",3,"nDH24","Ne60","varE4"
"165",165,0.398594124589443,0.0185584251977367,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",4,"nDH24","Ne60","varE4"
